"Guid","CurrencyIsoCode","Name","SBQQ__Description__c"
0031c309-bbec-438c-9fd7-b4e7b3df56bf,USD,Complete Threat Solution - Default Config,START HERE for Build Your Own: Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
0183bf1c-5b15-48e8-8bd8-3bdfe5180322,USD,2019 - Security Threat Solution,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
048a0d58-9bf2-43ae-a4fc-c22a11568a63,USD,Apple Config,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
074e5721-d56d-47d5-9fe2-a7454ef2687a,USD,Security Hardware Package,"The PowerSlide server is designed to bring excellent performance, expandability and deployment flexibility to organizations that must deploy multiple integrated servers in a minimum amount of space at a low cost."
08bac045-7e0b-4b47-b6cb-2c6d389c8664,USD,Services & Consulting Package,This is a Package of Services & Consulting Solutions Recommended by Marketing and Approved by Finance.
13ff584f-cd92-486d-bed8-b798b530dc5f,USD,200 Line Group,Group1
19888093-32b4-4dad-ab3e-f0cba49efafe,USD,This is the Gold level,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
20441b34-b1be-41ea-adaf-c3740a012c42,USD,Chris Quick Bundle,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
26c95dcd-dd3c-4067-9ae7-e0747410f93d,USD,Phase 1,Group1
27c7ac2d-5b6e-4553-bbe5-8a5e77aa3d9a,USD,Usage Products,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
32044375-e139-497a-9273-e8c267d7fb0e,USD,My Midpoint Bundle with Upsell,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
321579ac-689f-49a3-ae9e-e887758200af,USD,John's Favorite Bundle,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
32bcc169-c5f7-472f-bef8-a9237d99f6fa,USD,My favorite bundle,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
36efc2e9-3897-4c7e-86a9-e805abfd51c6,USD,Complete Threat Solution - Advanced Order Management,Complete Threat Platform Solution configuration for multi-location ordering.
3b581e3c-5576-43f1-a3a5-f2954956f993,USD,Threat Solution for Enterprise Accounts,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
445e6cea-d822-4244-a405-8c1f6c6e0064,USD,My Pre configured Complete Solution,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
4ac03eba-a62c-4002-8ff3-7f57be5af285,USD,Fav Complete Threat config,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
5517aff1-b2f7-4c78-a4f7-5a8febe3f6dc,USD,my favorite,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
58226530-1bce-4158-966d-acf8a989386d,USD,My favorite,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
644cce26-9995-4b0a-b8b2-b5fcab11b8f5,USD,Eric's fav,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
68e2dc68-56da-4240-90ad-3bf196457b82,USD,Rack Server and Installation,Rack Server and Installation
6e7f1051-a5af-41d0-b909-29dfcda873a1,USD,C5 package for 1000 users,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
73a11b46-dd05-402b-8d2f-9de75fb6462f,USD,Beebe Favorite,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
79bb8694-95e3-4763-884a-2342f58f086b,USD,90% Rack Starting Point,"Support and protect your IT equipment with rack enclosures designed for flexible deployments, usability and infrastructure scalability."
7aa7ad6f-3601-4a73-9021-530d6255627d,USD,My Solution,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
7e018440-a8f5-48b9-8578-4865f255e13c,USD,My Go To Minimum,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
851f9974-a646-477d-ac54-edbd3cd468ce,USD,Software & Hardware Marketing Package,This is a Package of Software & Hardware Products Recommended by Marketing and Approved by Finance.
8f6fe18b-47e8-4ebc-a09b-c9c9e7097074,USD,Dave's Best Bundle 90% of the time,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
92c0373e-c566-40ec-bc5d-1eda04efecfa,USD,Vance's Favorite SMB Solution,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
93e8ed76-606d-4ef0-899e-6a6af5f3990c,USD,Offer 1,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
9b14a726-a9e4-412f-84fa-48365ba4f3a2,USD,Best Bundle Ever,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
9fb6b3da-1240-4945-80fc-6e337f07329d,USD,Vance's Favorite Things,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
b2b52bb4-c6f0-403c-8f7b-ca3d6e21233e,USD,Complete Threat Solution for 200 users over 3 years,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
b5c46206-0a51-4e6d-9148-9ab7830d8931,USD,April Bundle,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
bb938dbd-052c-4cc9-ba3b-0296372059bb,USD,Chris's Billing Bundle,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
c35dec88-b041-4f8c-86a0-9b0c44c5f08e,USD,Baseline,Group1
c455cbfb-e67d-4847-8adf-0b6312a0ea0f,USD,Full Enterprise Bundle with Partner SOW,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
c718b567-645d-4cd7-8e39-00dbc30aba01,USD,Evergreen,"Enterprise Security Manager is a security information and event management (SIEM) solution that delivers actionable intelligence and integrations to prioritize, investigate, and respond to threats. ***Evergreen - Billed Annually***"
c8f80227-387d-44df-97ff-d4d2b76592d3,USD,Complete Threat Solution - Enterprise Deal Config,"Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.

This Configuration is Suitable for Large Enterprises."
d171dac2-ef65-4c35-9e76-a4fe3a002fb0,USD,My Favorite Config,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
d9106575-cf95-46b4-aa1b-f164dca6c060,USD,Threat Solution Configured for Startups,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
eb60bb4b-b223-4acd-b92b-321281ead7bf,USD,Starter Package,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
fd53d62b-8cc6-4052-bb47-6c2a2b153272,USD,My Fav,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
ffda76ee-3d33-4847-803e-e142c7afc49f,USD,336 Products,Group1
